D,H,G,L,C_NaOH0,V_total,N,k_caus,eta_eq,CO2_tpy,cost,efficiency,pressure_drop_Pa,pump_power_kW,blower_power_kW,total_power_kW,annual_energy_kWh,installed_cost,annual_cost,lime_cost,electricity_cost
8.745401188473625,58.275000724347066,117.83927301736861,19.966462104925917,2202.0838819909645,162.39780813448107,5,0.25666200138464024,0.9300337750025119,2134183.5127653293,210.64265982360283,89.42186755940428,2186.3210352372807,17705.338913899297,396.36074057683373,18101.69965447613,134785255.62722927,13759417.733851293,449550091.680569,359285745.1960538,13478525.562722929
6.428668179219407,47.78109655320985,36.76938948325203,23.04996930667062,5723.487190570876,100.31150633640573,6,0.1325320294340452,0.9273818018663584,741163.1226929999,222.3236763712519,99.52436454500537,2062.593521150912,17049.817215270734,116.6773915766617,17166.4946068474,127821718.84258571,8441257.192359418,164778110.22790498,124773405.49948733,12782171.884258572
10.247564316322379,40.118075652474054,64.94749682376504,20.296322368059485,2127.722372934188,216.85785941408727,6,0.1547471031936369,0.9081545791079539,1272149.3053714295,212.55673090483901,96.71140609991357,1972.2991181010493,12833.315984511373,197.0706010898192,13030.386585601193,97024258.51638648,13251859.378047569,270403897.5726128,214163921.91540384,9702425.851638649
11.183860093330873,38.3861696943507,147.9877062968146,16.669072331199498,5369.7318303134425,372.1230154351119,3,0.07927321684337578,0.9853996983528,2376381.950395476,207.65825290556873,79.28529308115058,1951.9754589251497,10135.232342763711,444.4128783292383,10579.64522109295,78776038.3162581,15574085.680860346,493475324.05545247,400059392.64894533,7877603.831625811
14.656320330745594,53.29390718407614,66.55365230080449,7.441802850159597,4579.048619304706,276.0609974958405,5,0.3244984960021794,0.9749875420562548,1321901.0706652415,209.4357104163385,98.06840020489992,2127.382665813652,6079.562015734833,217.82320961741587,6297.385225352248,46890330.38797284,22114805.836873196,276853289.83489335,222539537.20878834,4689033.0387972845
6.733646535077721,38.687121265063425,51.86833053456748,23.884035257941314,3413.201435210601,183.17666514727554,6,0.13318450498648718,0.9872626164988103,981967.8098278834,215.90422315970503,93.47533093045212,1955.5710499464385,14622.852492358441,156.04954708069698,14778.902039439137,110043704.58566381,8727799.586166257,212010997.1487261,165312417.70085865,11004370.458566383
12.751328233611146,57.88246295474662,137.37928205131786,19.94749947027713,5648.434057604026,135.3970008207678,5,0.28437541701162067,0.9865054821914414,2706472.005945285,209.42733635951976,97.27121190521926,2181.45539356079,17578.78980637741,461.0565781451636,18039.84638452257,134324696.17915505,19893066.50161519,566809223.1367273,455629427.2221908,13432469.617915506
13.445338486781514,51.15620385480833,94.76305588668957,19.668779141596204,5843.648882688621,342.8136990746739,3,0.1134159012386432,0.9721977282678635,1889115.548715198,211.21795891041555,98.42864242478424,2102.2311702922448,15479.114508581652,306.4828459648382,15785.59735454649,117539557.90195315,20500932.84618025,399015130.3455538,318029018.414699,11753955.790195316
5.745506436797708,59.541042781018106,122.66937231559889,9.96789203835431,1524.8495270562107,426.18457138193367,3,0.3701038787368925,0.9711157986478085,1386032.280535328,209.60916044386352,55.787799558311036,2203.7010235495673,9015.924595725708,415.88710973856644,9431.811705464273,70229269.95888697,10899420.922358537,290525062.6711036,233335904.714525,7022926.995888697
11.059599747810115,57.42053074796721,108.12924306023334,27.87399188859452,5325.173600054097,279.78026965528136,3,0.07860125762871063,0.9279884089544096,2171608.0997625324,213.0776426137373,99.16086804066626,2176.033420847368,24383.586996619164,361.988994876917,24745.575991496084,184255558.83267984,17801465.074363776,462721134.5782981,365586103.4115111,18425555.883267984
